"","Wine.Color","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","Class"
"697","W",7.4,0.3,0.49,8.2,0.055,49,188,0.9974,3.52,0.58,9.7,"Good"
"698","W",8.5,0.15,0.49,1.5,0.031,17,122,0.9932,3.03,0.4,10.3,"Bad"
"699","W",5.9,0.62,0.28,3.5,0.039,55,152,0.9907,3.44,0.44,12,"Bad"
"700","W",6.9,0.26,0.38,10.5,0.044,33,139,0.99517,3.06,0.5,10.3,"Bad"
"701","W",6.9,0.22,0.49,7,0.063,50,168,0.9957,3.54,0.5,10.3,"Bad"
"702","W",6.6,0.24,0.38,8,0.042,56,187,0.99577,3.21,0.46,9.2,"Bad"
"703","R",8.4,0.6,0.1,2.2,0.085,14,111,0.9964,3.15,0.66,9.8,"Bad"
"704","W",7.8,0.19,0.32,7.4,0.015,47,124,0.99278,2.99,0.39,11,"Good"
"705","R",11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,"Bad"
"706","W",8.5,0.19,0.49,3.5,0.044,29,117,0.9938,3.14,0.51,10.1,"Good"
"707","W",6,0.2,0.26,6.8,0.049,22,93,0.9928,3.15,0.42,11,"Bad"
"708","W",7.6,0.23,0.29,8.6,0.053,65,146,0.9963,3.11,0.32,9.8,"Good"
"709","W",6.4,0.22,0.38,9.1,0.044,35,127,0.99326,2.97,0.3,11,"Good"
"710","W",6.5,0.36,0.31,13.55,0.053,20,113,0.99544,3.2,0.56,11,"Bad"
"711","W",6.8,0.46,0.26,6.3,0.147,49,159,0.99434,3.14,0.47,10,"Bad"
"712","W",8,0.57,0.39,3.9,0.034,22,122,0.9917,3.29,0.67,12.8,"Good"
"713","W",5.8,0.22,0.29,1.3,0.036,25,68,0.98865,3.24,0.35,12.6,"Bad"
"714","W",6.8,0.17,0.34,2,0.04,38,111,0.99,3.24,0.45,12.9,"Bad"
"715","W",7.1,0.23,0.39,1.6,0.032,12,65,0.9898,3.25,0.4,12.7,"Good"
"716","R",7.8,0.63,0.48,1.7,0.1,14,96,0.9961,3.19,0.62,9.5,"Bad"
"717","W",6.8,0.25,0.18,1.4,0.056,13,137,0.9935,3.11,0.42,9.5,"Bad"
"718","W",6.9,0.4,0.43,6.2,0.065,42,178,0.99552,3.11,0.53,9.4,"Bad"
"719","R",7.1,0.16,0.44,2.5,0.068,17,31,0.99328,3.35,0.54,12.4,"Bad"
"720","W",6.3,0.17,0.42,2.8,0.028,45,107,0.9908,3.27,0.43,11.8,"Bad"
"721","W",6.1,0.32,0.24,1.5,0.036,38,124,0.9898,3.29,0.42,12.4,"Good"
"722","W",6.2,0.55,0.45,12,0.049,27,186,0.9974,3.17,0.5,9.3,"Bad"
"723","W",7.1,0.25,0.28,1.6,0.052,46,169,0.9926,3.05,0.41,10.5,"Bad"
"724","R",12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6,"Bad"
"725","R",9.3,0.33,0.45,1.5,0.057,19,37,0.99498,3.18,0.89,11.1,"Bad"
"726","W",6.8,0.16,0.4,2.3,0.037,18,102,0.9923,3.49,0.42,11.4,"Good"
"727","W",7.5,0.23,0.3,1.2,0.03,27,80,0.99192,3.05,0.68,10.5,"Bad"
"728","W",6.9,0.28,0.4,8.2,0.036,15,95,0.9944,3.17,0.33,10.2,"Good"
"729","W",5.8,0.19,0.33,4.2,0.038,49,133,0.99107,3.16,0.42,11.3,"Good"
"730","W",7.7,0.44,0.24,11.2,0.031,41,167,0.9948,3.12,0.43,11.3,"Bad"
"731","R",8.2,0.635,0.1,2.1,0.073,25,60,0.99638,3.29,0.75,10.9,"Good"
"732","R",10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2,"Bad"
"733","W",7.3,0.27,0.39,6.7,0.064,28,188,0.9958,3.29,0.3,9.7,"Bad"
"734","W",6.6,0.2,0.32,1.1,0.039,25,78,0.9926,3.39,0.54,10.2,"Good"
"735","W",7,0.36,0.3,5,0.04,40,143,0.99173,3.33,0.42,12.2,"Good"
"736","R",7.8,0.57,0.31,1.8,0.069,26,120,0.99625,3.29,0.53,9.3,"Bad"
"737","W",6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,"Bad"
"738","W",7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,"Good"
"739","W",6.1,0.34,0.24,18.35,0.05,33,184,0.99943,3.12,0.61,9.3,"Bad"
"740","W",6.7,0.28,0.34,8.9,0.048,32,111,0.99455,3.25,0.54,11,"Good"
"741","W",7.5,0.32,0.26,1.8,0.042,13,133,0.9938,3.07,0.38,9.5,"Bad"
"742","W",8,0.43,0.4,12.4,0.168,29,190,0.9991,3.07,0.64,9.2,"Bad"
"743","R",7.9,0.765,0,2,0.084,9,22,0.99619,3.33,0.68,10.9,"Good"
"744","W",5.8,0.3,0.38,4.9,0.039,22,86,0.98963,3.23,0.58,13.1,"Bad"
"745","W",6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9,"Bad"
"746","W",7.5,0.26,0.3,4.6,0.027,29,92,0.99085,3.15,0.38,12,"Good"
"747","W",7.5,0.32,0.49,1.7,0.031,44,109,0.9906,3.07,0.46,12.5,"Good"
"748","W",5.9,0.14,0.2,1.6,0.04,26,114,0.99105,3.25,0.45,11.4,"Good"
"749","W",6.6,0.26,0.56,15.4,0.053,32,141,0.9981,3.11,0.49,9.3,"Good"
"750","W",6.4,0.25,0.74,7.8,0.045,52,209,0.9956,3.21,0.42,9.2,"Good"
"751","W",6.3,0.32,0.35,11.1,0.039,29,198,0.9984,3.36,0.5,9.4,"Good"
"752","R",8.7,0.63,0.28,2.7,0.096,17,69,0.99734,3.26,0.63,10.2,"Good"
"753","R",7.6,0.35,0.6,2.6,0.073,23,44,0.99656,3.38,0.79,11.1,"Good"
"754","R",8.8,0.31,0.4,2.8,0.109,7,16,0.99614,3.31,0.79,11.8,"Good"
"755","W",7.7,0.38,0.4,2,0.038,28,152,0.9906,3.18,0.32,12.9,"Bad"
"756","R",8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,"Bad"
"757","W",6.8,0.14,0.35,1.5,0.047,40,117,0.99111,3.07,0.72,11.1,"Bad"
"758","W",6.4,0.105,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7,"Good"
"759","W",7.2,0.23,0.33,12.7,0.049,50,183,0.9987,3.41,0.4,9.8,"Good"
"760","W",7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,"Good"
"761","W",5.4,0.22,0.29,1.2,0.045,69,152,0.99178,3.76,0.63,11,"Good"
"762","W",6.2,0.15,0.49,0.9,0.033,17,51,0.9932,3.3,0.7,9.4,"Good"
"763","W",5.2,0.5,0.18,2,0.036,23,129,0.98949,3.36,0.77,13.4,"Good"
"764","W",7.7,0.28,0.29,4.3,0.051,25,142,0.9939,3.16,0.39,10.2,"Bad"
"765","W",8.2,0.24,0.3,2.3,0.05,23,106,0.99397,2.98,0.5,10,"Bad"
"766","R",7.3,0.49,0.1,2.6,0.068,4,14,0.99562,3.3,0.47,10.5,"Bad"
"767","W",8.3,0.24,0.27,2.1,0.03,22,162,0.9914,2.99,0.68,11.9,"Bad"
"768","W",6,0.19,0.29,1.2,0.046,29,92,0.99033,3.22,0.53,11.3,"Good"
"769","W",6,0.28,0.52,6.2,0.028,37,104,0.99161,3.28,0.51,11.8,"Good"
"770","W",6.5,0.28,0.34,3.6,0.04,29,121,0.99111,3.28,0.48,12.1,"Good"
"771","W",6.6,0.28,0.23,10.4,0.049,45,190,0.99754,3.12,0.51,8.8,"Bad"
"772","W",7.3,0.23,0.41,14.6,0.048,73,223,0.99863,3.16,0.71,9.4,"Bad"
"773","W",7.5,0.18,0.72,9.6,0.039,53,151,0.99802,3.03,0.46,8.9,"Bad"
"774","R",9.1,0.765,0.04,1.6,0.078,4,14,0.998,3.29,0.54,9.7,"Bad"
"775","R",6.9,0.36,0.25,2.4,0.098,5,16,0.9964,3.41,0.6,10.1,"Good"
"776","R",7.4,0.39,0.48,2,0.082,14,67,0.9972,3.34,0.55,9.2,"Bad"
"777","W",5.1,0.21,0.28,1.4,0.047,48,148,0.99168,3.5,0.49,10.4,"Good"
"778","R",6.2,0.39,0.43,2,0.071,14,24,0.99428,3.45,0.87,11.2,"Good"
"779","W",8.1,0.28,0.39,1.9,0.029,18,79,0.9923,3.23,0.52,11.8,"Bad"
"780","W",6.7,0.19,0.39,1,0.032,14,71,0.98912,3.31,0.38,13,"Good"
"781","R",8.2,0.24,0.34,5.1,0.062,8,22,0.9974,3.22,0.94,10.9,"Good"
"782","W",7.2,0.18,0.41,1.2,0.048,41,97,0.9919,3.14,0.45,10.4,"Good"
"783","W",6.8,0.11,0.27,8.6,0.044,45,104,0.99454,3.2,0.37,9.9,"Bad"
"784","W",7,0.29,0.37,1.6,0.035,34,126,0.99058,3.26,0.47,12.3,"Bad"
"785","W",8.1,0.12,0.49,1.2,0.042,43,160,0.9934,3.13,0.48,9.7,"Bad"
"786","W",6.6,0.17,0.35,2.6,0.03,33,78,0.99146,3.22,0.72,11.3,"Good"
"787","W",6.7,0.5,0.38,7.5,0.046,26,175,0.99662,3.32,0.54,9.6,"Good"
"788","W",5.8,0.33,0.23,5,0.053,29,106,0.99458,3.13,0.52,9,"Bad"
"789","W",7.7,0.27,0.35,5.3,0.03,30,117,0.992,3.11,0.42,12.2,"Good"
"790","W",7.9,0.14,0.74,1.2,0.028,30,165,0.991,3.08,0.82,12.3,"Good"
"791","R",5.9,0.395,0.13,2.4,0.056,14,28,0.99362,3.62,0.67,12.4,"Good"
"792","W",7.3,0.49,0.32,5.2,0.043,18,104,0.9952,3.24,0.45,10.7,"Bad"
"793","W",8.5,0.17,0.31,1,0.024,13,91,0.993,2.79,0.37,10.1,"Bad"
"794","W",9.3,0.31,0.49,1.3,0.042,34,147,0.9948,3.11,0.46,9.8,"Bad"
"795","W",6.1,0.16,0.34,6.1,0.034,31,114,0.99365,3.32,0.58,10.13333333,"Good"
"796","W",6.5,0.26,0.31,3.6,0.03,36,92,0.99026,3.22,0.62,12.6,"Good"
"797","R",8.2,0.28,0.6,3,0.104,10,22,0.99828,3.39,0.68,10.6,"Bad"
"798","W",6.1,0.27,0.32,1.1,0.034,24,110,0.9898,3.36,0.4,12.5,"Good"
"799","W",6.4,0.16,0.25,1.4,0.057,21,125,0.99091,3.23,0.44,11.1,"Good"
"800","R",7.1,0.39,0.12,2.1,0.065,14,24,0.99252,3.3,0.53,13.3,"Bad"
"801","W",6.9,0.19,0.38,1.15,0.023,30,105,0.99047,3.11,0.38,11.4,"Bad"
"802","W",7.6,0.67,0.14,1.5,0.074,25,168,0.9937,3.05,0.51,9.3,"Bad"
"803","W",7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,"Good"
"804","W",7.7,0.3,0.42,14.3,0.045,45,213,0.9991,3.18,0.63,9.2,"Bad"
"805","W",6.5,0.27,0.19,4.2,0.046,6,114,0.9955,3.25,0.35,8.6,"Bad"
"806","W",5.7,0.32,0.18,1.4,0.029,26,104,0.9906,3.44,0.37,11,"Good"
"807","W",7.3,0.4,0.28,6.5,0.037,26,97,0.99148,3.16,0.58,12.6,"Good"
"808","W",6.7,0.48,0.32,1.4,0.021,22,121,0.9889,3.15,0.53,12.7,"Good"
"809","W",6,0.28,0.27,4.1,0.046,50,147,0.99126,3.27,0.56,11.6,"Bad"
"810","W",6,0.19,0.26,12.4,0.048,50,147,0.9972,3.3,0.36,8.9,"Good"
"811","W",6.1,0.16,0.29,6,0.03,29,144,0.99474,3.68,0.46,10.7,"Bad"
"812","W",6.6,0.4,0.3,5.3,0.038,20,125,0.99204,3.36,0.73,12.6,"Good"
"813","W",7.2,0.24,0.4,1.4,0.045,31,106,0.9914,2.88,0.38,10.8,"Bad"
"814","R",7.2,0.65,0.02,2.3,0.094,5,31,0.9993,3.67,0.8,9.7,"Bad"
"815","W",6.2,0.27,0.26,12.1,0.046,43,127,0.9951,3.16,0.37,10.8,"Bad"
"816","W",8.4,0.17,0.31,6.7,0.038,29,132,0.9945,3.1,0.32,10.6,"Good"
"817","W",7.3,0.33,0.4,6.85,0.038,32,138,0.992,3.03,0.3,11.9,"Good"
"818","W",7.4,0.32,0.55,16.6,0.056,53,238,1.0017,2.96,0.58,8.7,"Bad"
"819","R",12.7,0.6,0.49,2.8,0.075,5,19,0.9994,3.14,0.57,11.4,"Bad"
"820","W",6.7,0.18,0.28,10.2,0.039,29,115,0.99469,3.11,0.45,10.9,"Good"
"821","W",6.9,0.29,0.16,6.8,0.034,65,212,0.9955,3.08,0.39,9,"Bad"
"822","R",6.6,0.725,0.09,5.5,0.117,9,17,0.99655,3.35,0.49,10.8,"Good"
"823","W",6.4,0.105,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7,"Bad"
"824","W",7.1,0.29,0.28,9.3,0.048,50,141,0.9949,3.13,0.49,10.3,"Good"
"825","W",6.7,0.5,0.38,7.5,0.046,26,175,0.99662,3.32,0.54,9.6,"Good"
"826","W",8.6,0.23,0.4,4.2,0.035,17,109,0.9947,3.14,0.53,9.7,"Bad"
"827","W",5.8,0.3,0.12,1.6,0.036,57,163,0.99239,3.38,0.59,10.5,"Good"
"828","R",6.9,0.58,0.2,1.75,0.058,8,22,0.99322,3.38,0.49,11.7,"Bad"
"829","R",7.7,0.41,0.76,1.8,0.611,8,45,0.9968,3.06,1.26,9.4,"Bad"
"830","W",6.3,0.41,0.3,3.2,0.03,49,164,0.9927,3.53,0.79,11.7,"Good"
"831","W",6.4,0.28,0.19,5.4,0.042,67,181,0.99435,3.31,0.35,10.2,"Good"
"832","W",7.6,0.28,0.39,1.9,0.052,23,116,0.9941,3.25,0.4,10.4,"Good"
"833","W",7.1,0.35,0.27,3.1,0.034,28,134,0.9897,3.26,0.38,13.1,"Good"
"834","W",7.3,0.28,0.42,1.2,0.033,29,142,0.99205,3.17,0.43,10.7,"Bad"
"835","W",6.6,0.23,0.24,3.9,0.045,36,138,0.9922,3.15,0.64,11.3,"Good"
"836","W",6.4,0.1,0.35,4.9,0.048,31,103,0.9947,3.43,0.79,9.7,"Bad"
"837","W",5.7,0.26,0.25,10.4,0.02,7,57,0.994,3.39,0.37,10.6,"Bad"
"838","W",7,0.28,0.32,7.75,0.032,30,114,0.99158,3.12,0.64,12.8,"Good"
"839","R",6,0.54,0.06,1.8,0.05,38,89,0.99236,3.3,0.5,10.55,"Bad"
"840","R",8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,"Bad"
"841","W",9.8,0.36,0.45,1.6,0.042,11,124,0.9944,2.93,0.46,10.8,"Bad"
"842","W",8,0.24,0.26,1.7,0.033,36,136,0.99316,3.44,0.51,10.4,"Good"
"843","W",6.6,0.26,0.46,7.8,0.047,48,186,0.9958,3.2,0.54,9.1,"Bad"
"844","W",6.3,0.33,0.42,17.2,0.037,57,170,0.99884,3.26,0.57,9.4,"Bad"
"845","W",5.3,0.395,0.07,1.3,0.035,26,102,0.992,3.5,0.35,10.6,"Good"
"846","W",7.4,0.36,0.23,1.9,0.017,31,69,0.9892,2.93,0.36,12.5,"Good"
"847","W",7.6,0.2,0.39,2.6,0.044,30,180,0.9941,3.46,0.44,10.8,"Good"
"848","W",5.9,0.3,0.47,7.85,0.03,19,133,0.9933,3.52,0.43,11.5,"Good"
"849","W",5.9,0.29,0.25,12,0.057,48,224,0.9981,3.23,0.41,9,"Good"
"850","W",6,0.38,0.26,6,0.034,42,134,0.9912,3.38,0.38,12.3,"Good"
"851","W",7.6,0.29,0.58,17.5,0.041,51,225,0.9997,3.16,0.66,9.5,"Good"
"852","W",7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2,"Bad"
"853","W",8.3,0.19,0.49,1.2,0.051,11,137,0.9918,3.06,0.46,11,"Good"
"854","W",6.4,0.15,0.44,1.2,0.043,67,150,0.9907,3.14,0.73,11.2,"Good"
"855","W",6.7,0.4,0.22,8.8,0.052,24,113,0.99576,3.22,0.45,9.4,"Bad"
"856","W",6,0.14,0.37,1.2,0.032,63,148,0.99185,3.32,0.44,11.2,"Good"
"857","W",7.1,0.25,0.49,3,0.03,30,96,0.9903,3.13,0.39,12.3,"Good"
"858","W",7.3,0.4,0.24,6.7,0.058,41,166,0.995,3.2,0.41,9.9,"Good"
"859","W",7.4,0.31,0.74,10.7,0.039,51,147,0.9977,3.02,0.43,8.7,"Bad"
"860","W",6,0.22,0.23,5,0.045,10,122,0.99261,2.94,0.63,10,"Bad"
"861","W",7.3,0.18,0.65,1.4,0.046,28,157,0.9946,3.33,0.62,9.4,"Bad"
"862","W",7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,"Good"
"863","W",6.7,0.31,0.33,2,0.033,12,74,0.99064,3.29,0.65,12.5,"Good"
"864","W",7.4,0.28,0.5,12.1,0.049,48,122,0.9973,3.01,0.44,9,"Bad"
"865","R",7.2,1,0,3,0.102,7,16,0.99586,3.43,0.46,10,"Good"
"866","W",7,0.18,0.37,1.5,0.043,16,104,0.99216,3.18,0.5,10.8,"Bad"
"867","R",9.9,0.4,0.53,6.7,0.097,6,19,0.9986,3.27,0.82,11.7,"Good"
"868","W",6.3,0.2,0.4,1.5,0.037,35,107,0.9917,3.46,0.5,11.4,"Good"
"869","W",8,0.18,0.49,1.8,0.061,10,145,0.9942,3.23,0.48,10,"Bad"
"870","R",8.6,0.45,0.31,2.6,0.086,21,50,0.9982,3.37,0.91,9.9,"Good"
"871","R",8.1,0.66,0.22,2.2,0.069,9,23,0.9968,3.3,1.2,10.3,"Good"
"872","R",9.1,0.68,0.11,2.8,0.093,11,44,0.99888,3.31,0.55,9.5,"Bad"
"873","R",7.7,0.705,0.1,2.6,0.084,9,26,0.9976,3.39,0.49,9.7,"Bad"
"874","W",6.1,0.41,0,1.6,0.063,36,87,0.9914,3.27,0.67,10.8,"Bad"
"875","W",7.2,0.39,0.62,11,0.047,66,178,0.9976,3.16,0.5,8.7,"Bad"
"876","W",7.4,0.28,0.49,1.5,0.034,20,126,0.9918,2.98,0.39,10.6,"Bad"
"877","W",6,0.17,0.3,7.3,0.039,39,104,0.99252,2.91,0.57,11,"Good"
"878","W",6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,"Bad"
"879","R",7,0.655,0.16,2.1,0.074,8,25,0.99606,3.37,0.55,9.7,"Bad"
"880","W",7.1,0.19,0.28,3.6,0.033,16,78,0.993,2.91,0.78,11.4,"Bad"
"881","W",6.9,0.39,0.4,4.6,0.022,5,19,0.9915,3.31,0.37,12.6,"Bad"
"882","W",7.7,0.39,0.34,10,0.056,35,178,0.9974,3.26,0.6,10.2,"Bad"
"883","W",7,0.16,0.73,1,0.138,58,150,0.9936,3.08,0.3,9.2,"Bad"
"884","W",9.5,0.42,0.41,2.3,0.034,22,145,0.9951,3.06,0.52,11,"Good"
"885","R",7.1,0.715,0,2.35,0.071,21,47,0.99632,3.29,0.45,9.4,"Bad"
"886","W",6.8,0.15,0.32,8.8,0.058,24,110,0.9972,3.4,0.4,8.8,"Good"
"887","W",6.3,0.27,0.51,7.6,0.049,35,200,0.99548,3.16,0.54,9.4,"Bad"
"888","W",6.45,0.14,0.42,1.2,0.05,51,129,0.99116,3.27,0.69,11.1,"Good"
"889","W",7.3,0.22,0.5,13.7,0.049,56,189,0.9994,3.24,0.66,9,"Good"
"890","W",6.5,0.28,0.34,3.6,0.04,29,121,0.99111,3.28,0.48,12.1,"Good"
"891","W",6,0.19,0.26,1.4,0.039,30,104,0.98998,3.32,0.41,12.4,"Good"
"892","W",6.7,0.35,0.32,9,0.032,29,113,0.99188,3.13,0.65,12.9,"Bad"
"893","W",7.1,0.39,0.79,1.4,0.194,23,90,0.99212,3.17,0.46,10.5,"Bad"
"894","W",8.9,0.32,0.49,1.6,0.05,17,131,0.9956,3.13,0.34,9.4,"Bad"
"895","W",6.9,0.3,0.49,7.6,0.057,25,156,0.9962,3.43,0.63,11,"Good"
"896","W",6,0.28,0.52,6.2,0.028,37,104,0.99161,3.28,0.51,11.8,"Good"
"897","W",6.7,0.25,0.26,13.5,0.06,50,156,0.99784,3.39,0.46,9.9,"Bad"
"898","W",6.8,0.25,0.18,1.4,0.056,13,137,0.9935,3.11,0.42,9.5,"Bad"
"899","R",8.7,0.31,0.46,1.4,0.059,11,25,0.9966,3.36,0.76,10.1,"Good"
"900","W",6.1,0.19,0.25,4,0.023,23,112,0.9923,3.37,0.51,11.6,"Bad"
"901","W",7,0.17,0.37,5.7,0.025,29,111,0.9938,3.2,0.49,10.8,"Good"
"902","W",6.3,0.21,0.29,11.7,0.048,49,147,0.99482,3.22,0.38,10.8,"Bad"
"903","W",7,0.21,0.28,8.7,0.045,37,222,0.9954,3.25,0.54,10.4,"Good"
"904","W",7,0.12,0.19,4.9,0.055,27,127,0.9953,3.29,0.41,9.4,"Good"
"905","W",7.7,0.39,0.28,4.9,0.035,36,109,0.9918,3.19,0.58,12.2,"Good"
"906","W",7.3,0.18,0.29,1.2,0.044,12,143,0.9918,3.2,0.48,11.3,"Good"
"907","W",6.6,0.4,0.32,1.7,0.035,39,84,0.99096,3.59,0.48,12.7,"Good"
"908","W",8,0.22,0.42,14.6,0.044,45,163,1.0003,3.21,0.69,8.6,"Good"
"909","W",6.3,0.3,0.91,8.2,0.034,50,199,0.99394,3.39,0.49,11.7,"Good"
"910","W",6.6,0.28,0.09,10.9,0.051,37,131,0.99566,2.93,0.62,9.5,"Bad"
"911","W",6.9,0.38,0.25,9.8,0.04,28,191,0.9971,3.28,0.61,9.2,"Bad"
"912","R",7.3,0.55,0.01,1.8,0.093,9,15,0.99514,3.35,0.58,11,"Good"
"913","W",9,0.31,0.48,6.6,0.043,11,73,0.9938,2.9,0.38,11.6,"Bad"
"914","R",6.8,0.81,0.05,2,0.07,6,14,0.99562,3.51,0.66,10.8,"Good"
"915","R",7.9,0.19,0.42,1.6,0.057,18,30,0.994,3.29,0.69,11.2,"Good"
"916","W",6,0.23,0.15,9.7,0.048,101,207,0.99571,3.05,0.3,9.1,"Bad"
"917","R",8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,"Good"
"918","W",6.5,0.28,0.35,9.8,0.067,61,180,0.9972,3.15,0.57,9,"Bad"
"919","R",7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,"Bad"
"920","R",7.2,0.835,0,2,0.166,4,11,0.99608,3.39,0.52,10,"Good"
"921","W",7.4,0.2,0.31,1.6,0.038,34,116,0.9912,3.25,0.39,12,"Good"
"922","R",6.4,0.31,0.09,1.4,0.066,15,28,0.99459,3.42,0.7,10,"Good"
"923","W",7.5,0.33,0.38,8.7,0.126,49,199,0.99711,2.98,0.57,9.4,"Good"
"924","W",6.8,0.22,0.26,1.2,0.041,29,182,0.99104,3.04,0.35,11.2,"Good"
"925","R",6.7,0.48,0.02,2.2,0.08,36,111,0.99524,3.1,0.53,9.7,"Bad"
"926","W",6.9,0.43,0.28,9.4,0.056,29,183,0.99594,3.17,0.43,9.4,"Bad"
"927","R",9.8,1.24,0.34,2,0.079,32,151,0.998,3.15,0.53,9.5,"Good"
"928","W",7.4,0.32,0.55,16.6,0.056,53,238,1.0017,2.96,0.58,8.7,"Good"
"929","R",10.1,0.31,0.44,2.3,0.08,22,46,0.9988,3.32,0.67,9.7,"Good"
"930","W",6.2,0.355,0.35,2,0.046,31,95,0.98822,3.06,0.46,13.6,"Good"
"931","R",6.8,0.5,0.11,1.5,0.075,16,49,0.99545,3.36,0.79,9.5,"Bad"
"932","W",6.5,0.22,0.19,1.1,0.064,36,191,0.99297,3.05,0.5,9.5,"Good"
"933","W",8.2,0.23,0.29,1.8,0.047,47,187,0.9933,3.13,0.5,10.2,"Bad"
"934","W",7.2,0.4,0.62,10.8,0.041,70,189,0.9976,3.08,0.49,8.6,"Bad"
"935","W",7.2,0.32,0.4,8.7,0.038,45,154,0.99568,3.2,0.47,10.4,"Bad"
"936","R",15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,"Good"
"937","W",7.3,0.28,0.35,1.6,0.054,31,148,0.99178,3.18,0.47,10.7,"Good"
"938","W",6.5,0.22,0.34,12,0.053,55,177,0.9983,3.52,0.44,9.9,"Bad"
"939","R",7.9,0.49,0.32,1.9,0.082,17,144,0.9968,3.2,0.55,9.5,"Bad"
"940","W",6.4,0.16,0.44,1.2,0.051,39,122,0.99058,3.11,0.75,11.3,"Good"
"941","W",6.2,0.39,0.24,4.8,0.037,45,138,0.99174,3.23,0.43,11.2,"Good"
"942","W",7.4,0.22,0.33,2,0.045,31,101,0.9931,3.42,0.55,11.4,"Bad"
"943","W",6.6,0.25,0.29,1.1,0.068,39,124,0.9914,3.34,0.58,11,"Good"
"944","W",7.4,0.22,0.27,1.6,0.057,45,98,0.99299,3.29,0.44,9.9,"Good"
"945","W",7.5,0.28,0.41,1.3,0.044,11,126,0.99293,3.28,0.45,10.3,"Good"
"946","R",12,0.37,0.76,4.2,0.066,7,38,1.0004,3.22,0.6,13,"Good"
"947","R",7.3,0.65,0,1.2,0.065,15,21,0.9946,3.39,0.47,10,"Good"
"948","R",7.7,0.69,0.05,2.7,0.075,15,27,0.9974,3.26,0.61,9.1,"Bad"
"949","W",5.9,0.32,0.2,14.4,0.05,29,144,0.99666,3.24,0.41,10.3,"Bad"
"950","W",6.9,0.38,0.25,9.8,0.04,28,191,0.9971,3.28,0.61,9.2,"Bad"
"951","W",6.6,0.25,0.39,1.45,0.04,40,89,0.9911,3.35,0.4,11.4,"Good"
"952","W",6.6,0.26,0.46,7.8,0.047,48,186,0.9958,3.2,0.54,9.1,"Bad"
"953","W",7.1,0.36,0.24,1.8,0.025,32,102,0.9903,3.34,0.59,12.8,"Good"
"954","R",6.9,0.36,0.25,2.4,0.098,5,16,0.9964,3.41,0.6,10.1,"Good"
"955","R",8.6,0.645,0.25,2,0.083,8,28,0.99815,3.28,0.6,10,"Good"
"956","R",7.1,0.75,0.01,2.2,0.059,11,18,0.99242,3.39,0.4,12.8,"Bad"
"957","W",6.8,0.26,0.22,7.7,0.047,57,210,0.9959,3.1,0.47,9,"Bad"
"958","W",6,0.32,0.3,1.9,0.033,41,142,0.98912,3.29,0.42,12.8,"Good"
"959","W",6.4,0.24,0.27,1.5,0.04,35,105,0.98914,3.13,0.3,12.4,"Good"
"960","W",6.5,0.25,0.32,9.9,0.045,41,128,0.99636,3.18,0.52,9.6,"Good"
"961","W",8.2,0.34,0.49,8,0.046,55,223,0.996,3.08,0.52,10.7,"Bad"
"962","W",7.2,0.08,0.49,1.3,0.05,18,148,0.9945,3.46,0.44,10.2,"Good"
"963","W",7.3,0.19,0.25,1.4,0.051,41,107,0.99382,3.53,0.66,10.5,"Good"
"964","W",7.8,0.28,0.49,1.3,0.046,27,142,0.9936,3.09,0.59,10.2,"Bad"
"965","W",7.8,0.15,0.24,7.7,0.047,21,98,0.9951,2.94,0.31,9.6,"Bad"
"966","R",7,0.59,0,1.7,0.052,3,8,0.996,3.41,0.47,10.3,"Bad"
"967","W",6.6,0.24,0.27,10.3,0.047,54,219,0.99742,3.04,0.45,8.8,"Bad"
"968","W",8.3,0.16,0.37,7.9,0.025,38,107,0.99306,2.93,0.37,11.9,"Good"
"969","W",7,0.22,0.32,1.6,0.045,40,120,0.9914,2.98,0.44,10.5,"Bad"
"970","W",6.3,0.27,0.25,5.8,0.038,52,155,0.995,3.28,0.38,9.4,"Good"
"971","R",5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,"Good"
